Objects
1 "tree1.png" "Tree"
2 "tree2.png" "Tree"
3 "tree3.png" "Tree"
4 "sandpile.png" "Sand"

Map
1000 1000 ;Size
0 0 2000 2000 ;Player bounds
500 500 ;Player start
1 0 0 1       1 
2 50 0 1      2 
3 100 0 1     3 
2 150 0 1     4 
3 200 0 1     5 
2 250 0 1     6 
3 300 0 1     7 
1 350 0 1     8 
3 400 0 1     9 
1 450 0 1     10
1 500 0 1     11
1 550 0 1     12
2 600 0 1     13
3 650 0 1     14
2 700 0 1     15
3 750 0 1     16
2 800 0 1     17
3 850 0 1     18
1 900 0 1     19
3 950 0 1     20
1 1000 0 1    21

2 0 50 1      22
3 0 100 1     23
2 0 150 1     24
3 0 200 1     25
2 0 250 1     26
3 0 300 1     27
1 0 350 1     28
3 0 400 1     29
1 0 450 1     30
1 0 500 1     31
1 0 550 1     32
2 0 600 1     33
3 0 650 1     34
2 0 700 1     35
3 0 750 1     36
2 0 800 1     37
3 0 850 1     38
1 0 900 1     39
3 0 950 1     40

2 50 1000 1   41
3 100 1000 1  42
2 150 1000 1  43
3 200 1000 1  44
2 250 1000 1  45
3 300 1000 1  46
1 350 1000 1  47
3 400 1000 1  48
1 450 1000 1  49
1 500 1000 1  50
1 550 1000 1  51
2 600 1000 1  52
3 650 1000 1  53
2 700 1000 1  54
3 750 1000 1  55
2 800 1000 1  56
3 850 1000 1  57
1 900 1000 1  58
3 950 1000 1  59

2 1000 50  1  60
3 1000 100 1  61
2 1000 150 1  62
3 1000 200 1  63
2 1000 250 1  64
3 1000 300 1  65
1 1000 350 1  66
3 1000 400 1  67
1 1000 450 1  68
1 1000 500 1  69
1 1000 550 1  70
2 1000 600 1  71
3 1000 650 1  72
2 1000 700 1  73
3 1000 750 1  74
2 1000 800 1  75
3 1000 850 1  76
1 1000 900 1  77
3 1000 950 1  78

3 100 750 1  79
2 300 600 1  80
3 400 450 1  81
1 800 500 1  82
3 200 350 1  83
3 700 450 1  84
2 900 200 1  85
3 100 150 1  86
1 5   900 1  87
3 150 800 1  88
2 900 800 1  89
3 600 500 1  90
1 700 900 1  91
3 350 800 1  92

4 300 300 0   93
4 500 900 0   94
4 100 300 0   95
4 200 700 0   96
4 350 300 0   97
4 300 300 0   98
4 900 400 0   99
4 100 300 0   100
4 300 300 0   101
4 350 200 0   102
4 300 300 0   103
4 123 432 0   104
